Nombre_Cancion,Nombre_Artista,cantidad_artistas,anio,mes,dia,nro_playlist,transmisiones,bpm,%_bailable,%_positividad,%_energia,%_sonido_acustico,%_instrumental,Género
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,85924992,157,88,52,69,0,0,Trance
California Breeze,Lil Baby,1,2022,10,14,991,85559365,162,74,22,67,0,0,Hardcore
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,19,4873,851070493,133,75,96,61,0,0,Techno
happier,Olivia Rodrigo,1,2021,5,21,3069,850608354,169,39,36,45,81,0,Hardcore
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,84697729,83,65,24,53,6,0,Rock
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,843957510,98,71,17,61,36,0,Rock
The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1,31762,843309044,95,92,31,89,3,0,Rock
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,841749534,94,37,17,47,2,46,Rock
Dream On,Aerosmith,1,1973,1,5,168,838586769,80,39,24,43,39,0,Rock
Bones,Imagine Dragons,1,2021,3,11,4198,838079900,114,77,65,72,2,0,Pop
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,83021468,144,68,83,81,9,0,Trance
Good Days,SZA,1,2020,12,24,10426,826623384,121,46,53,78,23,0,Electrónica/Dance
Freaks,Surf Curse,1,2015,5,10,3006,824420218,180,35,41,94,0,63,Hardcore
Bad Habit,Steve Lacy,1,2022,6,29,8186,822633917,169,69,69,51,63,0,Hardcore
Lost,Frank Ocean,1,2012,1,1,29499,822239726,123,91,49,61,3,0,Electrónica/Dance
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,81419389,98,70,29,73,12,0,Rock
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,81350745,120,84,54,51,47,0,Pop
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,81102253,124,84,65,50,67,0,Electrónica/Dance
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,25,6821,809306935,90,87,51,69,36,0,Rock
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,80758350,78,71,80,65,51,0,Rock
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,1,2011,10,14,12353,807561936,93,35,38,23,91,0,Rock
