Nombre_Cancion,Nombre_Artista,cantidad_artistas,anio,mes,dia,nro_playlist,transmisiones,bpm,%_bailable,%_positividad,%_energia,%_sonido_acustico,%_instrumental,Género
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,497225336,145,59,20,74,1,0,Trance
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,496795686,120,78,76,59,43,0,Pop
Boyfriend,Dove Cameron,1,2022,2,11,3766,496311364,180,35,23,61,23,0,Hardcore
Too Late,SZA,1,2022,12,8,714,49262961,128,45,35,68,78,0,Electrónica/Dance
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,5481,489945871,136,80,33,60,0,0,Techno
Lavender Haze,Taylor Swift,1,2022,10,21,3763,488386797,97,73,10,44,26,0,Rock
Underneath the Tree,Kelly Clarkson,1,2013,10,25,6596,485285717,160,51,69,81,0,0,Trance
Doja,Central Cee,1,2022,7,20,4169,482257456,140,91,97,57,38,0,Techno
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,3006,480507035,144,57,47,84,1,1,Trance
La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6,1796,479655659,196,66,58,79,23,0,Hardcore
Cheques,Shubh,1,2023,5,19,67,47956378,90,74,36,63,26,0,Rock
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,477033549,92,76,46,79,31,0,Rock
Holly Jolly Christmas,Michael Bublï¿,1,2011,10,14,7655,476244795,151,65,70,47,87,0,Trance
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1,10585,473248298,143,60,86,32,88,0,Trance
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,471819764,102,83,58,83,21,0,Pop
XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13,308,47093942,92,81,48,70,13,0,Rock
Lovers Rock,TV Girl,1,2014,6,5,6339,466231982,105,56,57,87,0,1,Pop
Oh My God,Adele,1,2021,11,19,4431,466214729,88,53,55,73,9,0,Rock
Cï¿½ï¿½,Rauw Alejandro,1,2021,6,25,2636,465959382,102,77,26,63,58,0,Pop
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,463564958,136,77,79,73,15,0,Techno
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,7758,462791599,125,84,70,69,1,0,Electrónica/Dance
Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,5,6,2229,461558540,78,56,61,90,36,0,Rock
NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,16,4708,461437791,140,62,46,73,10,0,Techno
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,46142772,90,62,7,62,6,0,Rock
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,46065667,134,76,61,58,6,0,Techno
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,1,10829,460492795,147,33,39,61,32,0,Trance
Normal,Feid,1,2022,7,8,2461,459276435,170,71,59,56,4,0,Hardcore
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,457184829,150,49,4,55,7,0,Trance
Something in the Orange,Zach Bryan,1,2022,4,22,3282,449701773,110,59,22,38,42,0,Pop
Murder In My Mind,Kordhell,1,2022,1,21,2459,448843705,120,71,57,97,1,0,Pop
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,4576,448500832,160,80,74,60,8,0,Trance
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,6512,446390129,134,45,72,24,91,0,Techno
Me and Your Mama,Childish Gambino,1,2016,11,10,8775,445590495,118,56,25,45,1,3,Pop
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,43857627,98,68,40,79,33,0,Rock
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,2780,436695353,98,73,60,85,17,0,Rock
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,436027885,138,78,89,83,10,0,Techno
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,43522589,98,73,45,62,28,0,Rock
Take My Breath,The Weeknd,1,2021,8,6,6392,432702334,121,75,53,74,2,0,Electrónica/Dance
OMG,NewJeans,1,2023,1,2,1783,430977451,127,80,74,77,36,0,Electrónica/Dance
Last Night,Morgan Wallen,1,2023,1,31,2420,429829812,204,52,52,68,46,0,Hardcore
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,888,429504768,180,51,87,58,36,0,Hardcore
Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,428685680,133,95,91,89,6,0,Techno
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13,6890,427486004,124,79,79,84,2,0,Electrónica/Dance
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,4,5342,426204830,141,37,17,67,2,0,Trance
Crown,Kendrick Lamar,1,2022,5,13,1493,42485571,170,37,14,24,80,0,Hardcore
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,7,4846,422691058,101,67,40,90,3,0,Pop
Fuera del mercado,Danny Ocean,1,2022,2,17,2499,421365166,92,45,27,67,32,0,Rock
Notion,The Rare Occasions,1,2016,8,5,2393,421135627,160,31,30,88,7,0,Trance
A Tale By Quincy,The Weeknd,1,2022,1,7,733,41924466,94,46,55,50,71,0,Rock
The Color Violet,Tory Lanez,1,2021,12,10,2585,415932686,105,65,46,53,16,0,Pop
Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,41210087,104,44,74,42,88,0,Pop
Those Eyes,New West,1,2019,5,10,1507,411747614,120,60,24,35,73,0,Pop
Angel Baby,Troye Sivan,1,2021,9,9,1959,408843328,145,56,41,57,1,0,Trance
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,405136812,139,48,37,41,32,0,Techno
Sleigh Ride,The Ronettes,1,1963,11,22,10114,404664135,92,53,84,77,40,0,Rock
Karma,Taylor Swift,1,2022,10,21,3818,404562836,90,64,10,62,7,0,Rock
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,16,1685,403939487,95,75,74,58,36,0,Rock
Un Coco,Bad Bunny,1,2022,5,6,1029,403231558,152,84,74,69,21,0,Trance
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,20,685,403097450,158,60,52,76,17,0,Trance
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,401036314,117,72,45,59,14,0,Pop
Snooze,SZA,1,2022,12,9,2839,399686758,143,56,39,55,14,0,Trance
Curtains,Ed Sheeran,1,2023,5,5,715,39893489,176,50,44,76,10,0,Hardcore
Ditto,NewJeans,1,2022,12,19,1154,397582059,134,81,18,64,3,0,Techno
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,39709092,130,63,36,34,76,0,Electrónica/Dance
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,39666245,81,59,26,60,46,1,Rock
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,39578178,82,51,22,53,1,0,Rock
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1,11940,395591396,96,23,19,25,91,0,Rock
Jordan,Ryan Castro,1,2021,4,30,2844,394030335,180,80,71,68,6,0,Hardcore
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,27,2780,393230256,90,79,79,70,57,0,Rock
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,39228929,142,50,20,64,1,0,Trance
Is There Someone Else?,The Weeknd,1,2022,1,7,2881,391251368,135,70,60,58,4,0,Techno
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,39058561,116,77,79,62,33,1,Pop
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,1,11500,389771964,139,36,22,15,84,0,Techno
Daylight,David Kushner,1,2023,4,14,3528,387570742,130,51,32,43,83,0,Electrónica/Dance
Mary On A Cross,Ghost,1,2019,9,13,2668,387080183,130,47,56,90,0,0,Electrónica/Dance
Still With You,Jung Kook,1,2020,6,5,31,38411956,88,53,34,47,9,0,Rock
Belly Dancer,"BYOR, Imanbek",2,2022,2,18,5115,383835984,122,85,42,80,6,0,Electrónica/Dance
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,383550148,82,63,85,62,6,0,Rock
In The Stars,Benson Boone,1,2022,4,29,2224,382199619,78,36,30,54,34,0,Rock
Punto G,Quevedo,1,2022,11,4,1985,381161027,92,75,55,76,25,0,Rock
Selfish,PnB Rock,1,2016,6,23,2468,380319238,102,64,4,60,11,0,Pop
Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,37778188,78,43,60,38,76,1,Rock
Praise God,Kanye West,1,2021,8,29,4651,376333030,118,80,21,55,1,0,Pop
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,374191487,96,66,76,82,47,0,Rock
People,Libianca,1,2022,12,2,3506,373199958,198,59,71,42,55,0,Hardcore
Bloody Mary,Lady Gaga,1,2011,1,1,3909,372476382,100,59,49,65,2,0,Rock
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,37126685,135,77,28,55,18,0,Techno
Savior - Interlude,Kendrick Lamar,1,2022,5,13,1194,37091576,118,66,83,43,84,0,Pop
Alien Blues,Vundabar,1,2015,7,24,1930,370068639,82,47,44,76,8,91,Rock
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,36912123,121,65,49,78,0,0,Electrónica/Dance
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,368646862,106,44,8,20,74,42,Pop
You Proof,Morgan Wallen,1,2022,5,13,2128,367814306,120,73,64,85,25,0,Pop
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,367316268,157,54,75,60,30,0,Trance
Matilda,Harry Styles,1,2022,5,20,3218,366214458,114,51,39,29,90,0,Pop
Hype Boy,NewJeans,1,2022,8,1,892,363472647,100,59,78,94,27,0,Rock
Acapulco,Jason Derulo,1,2021,9,1,3098,363467642,122,77,51,79,5,0,Electrónica/Dance
Like Crazy,Jimin,1,2023,3,24,596,363369738,120,63,36,73,0,0,Pop
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,357925728,95,77,53,64,74,0,Rock
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,357580552,175,59,15,64,43,90,Hardcore
I Hate U,SZA,1,2021,12,3,4094,356709897,107,54,41,39,51,0,Pop
Shape of You,Ed Sheeran,1,2017,1,6,32181,3562543890,96,83,93,65,58,0,Rock
Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2,2012,355219175,105,76,58,84,10,0,Pop
BREAK MY SOUL,Beyoncï¿,1,2022,6,21,9724,354614964,115,70,87,88,4,0,Pop
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,354495408,144,56,84,65,23,0,Trance
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,354065229,110,86,31,53,43,0,Pop
Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,1087,351636786,101,72,91,87,14,0,Pop
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,2619,350381515,130,63,49,73,5,0,Electrónica/Dance
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,2697,349746291,90,81,59,83,9,0,Rock
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,2235,349585590,109,60,45,47,62,0,Pop
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,348647203,120,69,40,39,41,0,Pop
this is what falling in love feels like,JVKE,1,2021,9,3,2005,346127840,129,42,33,44,62,0,Electrónica/Dance
The Feels,TWICE,1,2021,10,1,1150,345903614,120,81,92,90,9,0,Pop
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,345031710,96,74,61,83,11,0,Rock
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,34502215,145,54,19,48,36,0,Trance
Andrea,"Buscabulla, Bad Bunny",2,2022,5,6,1195,344055883,103,80,45,62,76,0,Pop
she's all i wanna be,Tate McRae,1,2022,2,4,2711,343197054,160,61,65,64,1,0,Trance
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,342897938,139,74,68,68,3,0,Techno
Super Gremlin,Kodak Black,1,2021,10,30,2551,342779426,73,83,11,41,0,0,Rock
Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,339473453,126,67,37,46,13,0,Electrónica/Dance
TV,Billie Eilish,1,2022,7,21,3009,338564981,141,41,9,25,84,1,Trance
Dos Mil 16,Bad Bunny,1,2022,5,6,892,338422004,130,82,50,67,12,0,Electrónica/Dance
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,335222234,100,86,67,66,14,0,Rock
Players,Coi Leray,1,2022,11,30,4096,335074782,105,95,62,52,3,0,Pop
Music For a Sushi Restaurant,Harry Styles,1,2022,5,20,4449,334733572,107,72,36,72,26,6,Pop
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13,1890,33381454,140,49,50,37,87,0,Techno
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20,3559,333146475,170,80,77,85,11,0,Hardcore
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,332506354,142,64,31,72,15,0,Trance
cï¿½ï¿½mo dormi,Rels B,1,2022,8,4,1452,331511413,126,63,56,43,24,0,Electrónica/Dance
Run BTS,BTS,1,2022,6,10,736,330881149,77,72,70,82,2,0,Rock
Bejeweled,Taylor Swift,1,2022,10,21,2699,328207708,164,70,39,56,6,0,Hardcore
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,32761689,101,92,59,51,41,51,Pop
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,327498031,95,84,49,72,8,0,Rock
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,325592432,120,70,70,79,7,0,Pop
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,782,323455692,113,70,97,59,55,0,Pop
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,323437194,110,66,19,32,69,0,Pop
GATï¿½ï¿½,"Maldy, Karol G",2,2022,8,25,3328,322336177,93,63,34,86,26,0,Rock
Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18,866,319757142,140,59,73,45,44,0,Techno
Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,31959571,108,46,23,48,75,30,Pop
Maan Meri Jaan,King,1,2022,10,12,288,319566866,96,70,40,51,35,0,Rock
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,6,1681,319546754,108,78,55,60,59,0,Pop
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,31873544,128,81,90,77,1,0,Electrónica/Dance
Maroon,Taylor Swift,1,2022,10,21,2304,317726339,108,64,4,40,6,0,Pop
Christmas Tree,V,1,2021,12,24,509,317622165,139,44,18,38,70,0,Techno
La Zona,Bad Bunny,1,2020,2,29,1188,312622938,94,76,81,80,20,0,Rock
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3517,311395144,78,77,49,42,1,1,Rock
Shirt,SZA,1,2022,10,28,3469,309653982,120,82,55,45,15,3,Pop
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29,2460,309483971,94,74,64,73,6,0,Rock
ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,2,14,1367,307752576,110,80,26,85,23,0,Pop
LOVE DIVE,IVE,1,2022,4,5,753,305771063,118,70,54,71,0,0,Pop
Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,1443,305650299,85,71,43,65,23,0,Rock
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,304118600,94,89,61,66,17,0,Rock
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,30343206,146,50,67,89,0,0,Trance
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,303236322,144,65,23,80,14,63,Trance
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,303216294,94,73,65,79,5,2,Rock
Yet To Come,BTS,1,2022,6,10,829,302006641,172,56,68,89,4,0,Hardcore
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,573,301869854,166,70,57,57,9,20,Hardcore
N95,Kendrick Lamar,1,2022,5,13,5542,301242089,140,81,39,66,38,0,Techno
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,301051721,105,88,82,80,8,0,Pop
Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,4531,300983101,127,77,53,78,19,0,Electrónica/Dance
Chale,Eden Muï¿½ï,1,2022,2,18,695,299648208,189,55,86,44,40,0,Hardcore
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,299634472,124,81,68,63,17,0,Electrónica/Dance
LET GO,Central Cee,1,2022,12,15,2301,298063749,146,74,51,45,86,0,Trance
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,297328960,177,25,17,30,90,0,Hardcore
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,1,6290,295998468,113,73,72,32,77,0,Pop
New Jeans,NewJeans,1,2023,7,7,77,29562220,134,81,53,72,51,0,Techno
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,294352144,115,95,43,69,47,0,Pop
Last Last,Burna Boy,1,2022,5,12,4526,293466523,88,80,55,56,13,0,Rock
ceilings,Lizzy McAlpine,1,2022,4,8,3242,293186992,148,51,27,33,48,0,Trance
Every Summertime,NIKI,1,2021,8,10,1211,290228626,79,63,76,67,38,0,Rock
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,288101651,149,66,85,60,40,0,Trance
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,527,287278853,99,79,64,59,28,0,Rock
It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,287201015,78,40,7,29,62,0,Rock
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,5290,286739476,123,60,46,71,3,0,Electrónica/Dance
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,286400165,88,68,17,71,15,0,Rock
Nobody Gets Me,SZA,1,2022,12,9,2536,284908316,100,36,28,28,81,0,Rock
Radio,Lana Del Rey,1,2011,1,1,9389,284819874,150,42,20,86,21,0,Trance
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,284785823,82,40,39,64,21,0,Rock
Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6,349,284249832,92,71,67,60,7,0,Rock
Aguacero,Bad Bunny,1,2022,5,6,829,283359161,121,86,67,65,42,0,Electrónica/Dance
Un Verano Sin Ti,Bad Bunny,1,2022,5,6,1004,283332261,188,50,41,50,69,0,Hardcore
Forever,Labrinth,1,2019,10,4,3618,282883169,80,56,19,46,92,72,Rock
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,2808096550,90,76,91,50,54,0,Rock
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6,1112,279737940,105,81,77,79,19,0,Pop
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,279717388,110,91,59,82,8,0,Pop
Ferxxo 100,Feid,1,2022,6,3,1647,278920007,164,70,58,57,25,0,Hardcore
BILLIE EILISH.,Armani White,1,2022,1,20,2537,277132266,100,90,75,50,11,0,Rock
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,276259178,119,75,48,53,18,0,Pop
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,2762,162,49,78,64,19,0,Hardcore
Little Freak,Harry Styles,1,2022,5,20,2302,273194684,142,56,40,54,72,0,Trance
Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,273005485,98,83,63,74,14,0,Rock
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,2713922350,104,77,36,63,1,0,Pop
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,267789608,130,74,79,87,45,0,Electrónica/Dance
Surface Pressure,Jessica Darrow,1,2021,11,19,1756,267758538,180,65,37,58,2,0,Hardcore
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,266624541,178,79,58,78,34,0,Hardcore
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,2665343922,170,59,48,76,4,0,Hardcore
Car's Outside,James Arthur,1,2019,10,18,794,265882712,150,34,24,56,4,0,Trance
Attention,NewJeans,1,2022,8,1,799,264717480,105,81,70,65,24,0,Pop
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,22,772,263894529,158,46,62,83,53,0,Trance
Monï¿½ï¿½y so,YEAT,1,2021,9,10,1473,263779030,138,69,35,57,12,0,Techno
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,1254,263453310,158,65,72,95,31,0,Trance
Ojos Marrones,Lasso,1,2022,2,6,795,263280370,120,81,72,65,4,0,Pop
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,261414174,84,67,78,63,29,0,Rock
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,261286503,108,96,71,42,57,0,Pop
Believer,Imagine Dragons,1,2017,1,31,18986,2594040133,125,77,74,78,4,0,Electrónica/Dance
Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032,2591224264,95,75,64,52,41,0,Rock
Numb Little Bug,Em Beihold,1,2022,1,28,2026,258714692,85,74,61,52,30,0,Rock
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14,580,258316038,122,80,62,69,28,0,Electrónica/Dance
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,2565529693,186,68,49,59,16,0,Hardcore
Moonlight,Kali Uchis,1,2023,2,24,2649,256483385,137,64,88,72,51,0,Techno
Perfect,Ed Sheeran,1,2017,1,1,16596,2559529074,95,60,17,45,16,0,Rock
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,255932395,140,74,96,80,18,0,Techno
When You're Gone,Shawn Mendes,1,2022,3,31,2092,255120451,147,60,58,69,2,0,Trance
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,254218729,125,88,28,66,6,0,Electrónica/Dance
Vigilante Shit,Taylor Swift,1,2022,10,21,1948,253650850,80,80,16,28,17,0,Rock
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19,3541,252871192,172,31,4,86,1,0,Hardcore
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,250305248,150,68,14,76,4,0,Trance
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,24975653,143,83,25,69,4,0,Trance
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8,1401,248511839,128,82,42,75,6,0,Electrónica/Dance
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19,15010,2484812918,117,76,77,52,4,0,Pop
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,248088961,120,84,96,71,18,0,Pop
ELEVEN,IVE,1,2021,12,1,521,247737946,120,83,59,73,6,0,Pop
2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,247689123,156,72,92,77,9,0,Trance
Die For You,Joji,1,2022,11,4,1703,246390068,148,47,15,52,38,13,Trance
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,246376690,130,51,50,76,30,0,Electrónica/Dance
Agosto,Bad Bunny,1,2022,5,6,897,246127838,115,85,72,58,9,0,Pop
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14,1034,245400167,174,67,74,75,44,0,Hardcore
Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,1,8612,245350949,152,69,94,71,79,0,Trance
TO THE MOON,Jnr Choi,1,2021,11,5,2979,245095641,144,74,39,65,5,1,Trance
THE SHADE,Rex Orange County,1,2022,3,11,1189,244928911,120,90,73,51,39,0,Pop
San Lucas,Kevin Kaarl,1,2019,11,7,407,244891912,92,58,27,36,86,0,Rock
Afraid To Feel,LF System,1,2022,5,2,5898,244790012,128,58,68,91,2,0,Electrónica/Dance
Thousand Miles,The Kid Laroi,1,2022,4,22,2050,244741137,81,38,20,66,9,0,Rock
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,244658767,150,90,64,14,67,35,Trance
Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22,9122,242767149,126,34,35,76,39,0,Electrónica/Dance
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,2420461338,99,40,45,56,69,0,Rock
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16,2442,240918092,132,82,49,88,20,0,Techno
Ginseng Strip 2002,Yung Lean,1,2013,8,16,4310,240769997,115,60,37,71,8,0,Pop
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,30,648,240684449,133,82,52,61,38,0,Techno
With you,"HA SUNG WOON, Jimin",2,2022,4,24,343,240580042,150,53,14,43,64,0,Trance
Forget Me,Lewis Capaldi,1,2022,9,9,2520,239411309,102,67,72,74,30,0,Pop
Hold My Hand,Lady Gaga,1,2022,5,3,2528,238350348,148,51,21,63,5,0,Trance
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,4627,237351106,101,78,40,74,36,0,Pop
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,236940480,170,70,61,44,40,0,Hardcore
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,236872197,98,68,33,43,38,0,Rock
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,20,660,236857112,98,73,88,57,56,0,Rock
Keep Driving,Harry Styles,1,2022,5,20,2094,236060709,165,72,90,48,32,0,Hardcore
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,2355719893,115,35,12,30,93,0,Pop
Typa Girl,BLACKPINK,1,2022,9,16,452,235549288,132,92,53,62,7,0,Techno
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,233801632,160,69,61,71,33,0,Trance
